	TAD	DHS_0	DHS_1	DHS_2	DHS_3	DHS_4	DHS_5	DHS_6	DHS_7	TAD_volume_0	TAD_volume_1	TAD_volume_2	TAD_volume_3	TAD_volume_4	TAD_volume_5	TAD_volume_6	TAD_volume_7	SDOC_0	SDOC_1	SDOC_2	SDOC_3	SDOC_4	SDOC_5	SDOC_6	SDOC_7	mean_expression_0	mean_expression_1	mean_expression_2	mean_expression_3	mean_expression_4	mean_expression_5	mean_expression_6	mean_expression_7	adjacent_TAD_contact_0	adjacent_TAD_contact_1	adjacent_TAD_contact_2	adjacent_TAD_contact_3	adjacent_TAD_contact_4	adjacent_TAD_contact_5	adjacent_TAD_contact_6	adjacent_TAD_contact_7	SDOC_std
13	"chr1	14300000	14720000"	-0.789549696148118	-0.464175472027094	-0.437411419428602	-0.538703096348378	-0.386343983240283	-0.764786275942131	-0.716633479183712	-1.53773347842789	0.315202899720436	0.197679980674535	0.154602554410313	0.158377104816667	0.182128428225406	0.27592284019726	0.33335908971895	0.361176399001106	-0.713774550754654	-0.449236646098277	-0.428337892794253	-0.47253979136839	-0.396936407904303	-0.647100860838539	-0.627050426758546	-1.57567689747393	3.435532588969683	3.2630058522118803	3.104940452302704	2.4297418179546857	0.8146267089438602	0.5800721415403296	0.11125785115629026	0.07746150623979776	1.1545028364259844	1.304335426630935	1.1613996315661583	1.1161888676869567	1.4233361501585955	1.3144872074517142	1.166139922165789	0.3603349026821553	0.36140745654665724
14	"chr1	14720000	15000000"	-1.16295075666002	-0.954724045561751	-0.627928607861192	-0.908967949498408	-0.588304626070414	-0.556331575252251	-0.577150336459081	-1.53773347842789	-0.198511770497998	-0.294116349558243	-0.454295862315846	-0.412300065945403	-0.540066867953515	-0.421714471780309	-0.218123310209558	-0.160378686711067	-0.754666051155724	-0.526113261711581	-0.229276072451029	-0.46281746247854	-0.18238140524291	-0.207859310822628	-0.30796166807811	-1.57567689747393	0.03876131109907696	0.0	0.16131136478222352	0.3253069246714695	0.5827726957867907	0.2083850432871711	0.0	0.0	-0.6704961715837959	-0.71409682526924	-0.41389837157000037	-0.6001229348700198	-0.585978495177726	-0.3847484071086048	-0.34563155300903975	-0.3886550697626829	0.43485444721714095
19	"chr1	16780000	17140000"	-0.658446952331347	-0.801273984727164	-0.876947508584588	-0.767344749555716	-0.856305919481175	-1.04675429127555	-1.30564274642021	-1.53773347842789	0.0525525621267757	-0.137127374653279	0.0200988908259347	-0.00386519003239212	-0.00109643462600709	0.166798520043551	0.179791586348908	0.198470418578596	-0.485335242650494	-0.497670538979802	-0.640867486700245	-0.549906097680608	-0.604540019896648	-0.800435426766139	-1.02393856454761	-1.57567689747393	0.11909321340307137	0.0	0.22842428857634492	0.015723360089179496	0.0	0.03759351375912733	0.0	0.0	-0.24366093149876392	0.24134146395382156	0.10075165920854909	0.10051898373289783	0.11243965731501825	-0.3911059502977933	-0.4669624711603857	-0.6547531671103362	0.3468023727170855
28	"chr1	24100000	24320000"	-1.4382863852072	-1.11424212646837	-0.876947508584588	-0.908967949498408	-1.01571034939012	-1.23317482851472	-1.05616469779073	-1.53773347842789	-0.366952024483147	-0.386521014454941	-0.610523688758473	-0.297766946794783	-0.542763699717518	-0.427989053005989	-0.455108254699066	-0.566750651175471	-0.950071458093314	-0.612223117211609	-0.35609724937713	-0.503924892294346	-0.506547571393059	-0.709944828494368	-0.566489757721038	-1.57567689747393	0.5024484216074238	0.15384074234504055	0.4343339015798715	0.22297774133039572	0.07834651073363226	0.2064601170684916	0.0993187365431094	0.0	-0.8490512533572928	-0.7683895032297076	-0.6809297539639344	-0.7232505965952474	-0.7203664280394448	-0.8776071944586018	-0.8705045371828539	-0.8799001413074995	0.36142405696154706
32	"chr1	31020000	31220000"	-1.9212192648253	-1.62650534979397	-2.04927112357746	-2.00565887658374	-2.00413660741207	-1.99350292052376	-1.81256591115843	-1.53773347842789	-1.13901856185107	-1.16800125581725	-1.21476007252283	-1.01076183641811	-0.996285111778669	-1.07144123845039	-1.14221660415116	-1.07367711106798	-2.00254795224309	-0.803665003679943	-1.91621857901993	-2.00183425066633	-1.95427695247279	-1.95828776478229	-1.81444291608875	-1.57567689747393									-0.336094153218875	-0.23723155991506728	-0.21034807909338168	-0.18540999073943368	-0.22529865615161235	-0.3229671228733771	-0.45406233316971156	-0.5714069478006972	0.3824171493761438
42	"chr1	37480000	37700000"	0.0430110730680601	0.538782894332778	0.919691275991113	0.819200852002627	0.858812608477469	1.03382432159459	1.17195152733472	1.24440465308853	-1.34484753419158	-1.22602780113981	-1.45321590290105	-1.33989967192219	-1.31456062449315	-1.4187497688732	-1.47334104669122	-1.53306694709737	0.857241482714395	1.35543203589744	1.77256558874258	1.61431320314353	1.60033277322978	1.87766687498446	1.9946009562655	1.96466951813649	2.6415214793961517	2.7766762853422566	2.994013250511268	2.6372766346977508	2.8414123819824435	3.3044435672418317	2.938556508045659	3.2698954660449178	0.6963264715253578	0.5194351316497969	0.6176889968192756	0.6048902255413597	0.6356189317866829	0.9306047012939361	1.1720151011114563	1.1421463386437913	0.35360105035721806
45	"chr1	38840000	39040000"	-0.658446952331347	-0.209170220981026	-0.136592358862425	-0.201533392443787	-0.2195917478466	0.116873240554915	0.173124900203	0.432767809667062	-0.935341799305119	-0.805397230058802	-0.79909829919014	-0.852079449048389	-0.866958593238905	-1.02243987923879	-1.02451936302613	-1.30864846495745	0.0100524131909896	0.378739583677806	0.412689482689515	0.382330483404648	0.344637124399451	0.730776462142703	0.785866832001829	1.15685754157148	0.7660614631422158	0.5056779179185688	0.26837990528393	0.26169978812321376	0.3693230056072064	0.8929568095638442	0.976733297564231	1.5432704053260389	-0.341217286899721	-0.5216219028631027	-0.49751773130851784	-0.2809290611775972	-0.22498458158406176	-0.1326177900786576	0.11850028053615244	0.25597140458934464	0.3281960295841791
51	"chr1	43160000	43800000"	0.243425975518177	0.0667757115049205	-0.196038664408668	0.332709514962362	1.00452568191418	2.05463903921835	2.13780506037753	2.25054551458566	0.569177952914783	0.660359702768677	0.654981167219527	0.587224454364673	0.482155996402301	0.277165838440233	0.353672558327356	0.0845817242374635	-0.18825517381585	-0.397026145296576	-0.510700578574006	-0.237170163672361	0.245402586692893	1.01644807277625	1.08640277051282	1.16885253085641	1.1548223917433396	1.2574716158531825	0.87064705856457	1.4665274298674276	3.3804792714045955	3.6529008931364926	3.2532528770501106	2.626590288399163	0.21134546591303577	-0.03975366916670749	0.10393385486657651	0.07227724665590468	0.3887363493293583	0.7244157070286442	0.9923617936641601	1.1698983258271505	0.666502441996808
66	"chr1	53420000	53760000"	-1.9212192648253	-1.62650534979397	-1.48871445539289	-2.00565887658374	-2.00413660741207	-1.99350292052376	-1.81256591115843	-1.53773347842789	0.0545951270880218	-0.0681446360561075	-0.197633038640188	0.00224977030728299	-0.116316890128985	-0.0823331139208441	-0.00487255731314526	0.0215787450394497	-2.00254795224309	-1.19281361378515	-1.04618592483723	-2.00183425066633	-1.95427695247279	-1.95828776478229	-1.81444291608875	-1.57567689747393									0.4170923735414357	0.35707365091209087	0.3012223850043175	0.27347386773796906	0.4009485661505992	0.37730523363675683	0.3966564951919513	0.32191254086920046	0.3582787323634737
77	"chr1	59040000	59300000"	-0.258309799840686	-0.464175472027094	-0.759514830546224	-0.44697503394277	-0.0726161176073976	0.235216197343167	0.296797457396161	0.432767809667062	-0.79215597200195	-0.612487910911985	-0.601692895680099	-0.750332940390087	-0.667042279812162	-0.742240591396494	-0.648730505632014	-0.706604102877947	0.307142005174244	0.0258677945138945	-0.245564382077978	0.0994410323090966	0.3592192098325	0.664739343159054	0.677697565717542	0.808039894834211	2.0376198888039934	1.2651049835040762	0.7469353087914096	1.4886213827725032	3.3814718143808027	2.530912459484249	2.9083904541248318	1.8759739395625747	1.3128132712189995	1.1549708073283778	0.9164721215483129	1.1576052430978747	1.0253717503515494	1.3880459442384516	1.9787375142653794	1.615567276045359	0.34266791746623265
