chr1	850000	1275000	0	34
chr1	1275000	1575000	0	51
chr1	1575000	1850000	0	63
chr1	1850000	2075000	0	74
chr1	2075000	2350000	0	83
chr1	2350000	2575000	0	94
chr1	2575000	2900000	0	103
chr1	2900000	3350000	0.8242640687119285	116
chr1	6000000	6250000	0	240
chr1	6250000	6725000	0.9	250
chr1	6725000	7025000	0	269
chr1	7025000	7250000	0	281
chr1	7250000	7725000	1.0	290
chr1	7725000	8025000	0	309
chr1	8025000	8425000	0	321
chr1	8425000	8925000	0.9166666666666666	337
chr1	8925000	9275000	0	357
chr1	9275000	9650000	0	371
chr1	9650000	9975000	0	386
chr1	9975000	10500000	0.9166666666666666	399
chr1	10500000	11050000	0.8744743347942345	420
chr1	11050000	11350000	0	442
chr1	11350000	11775000	0	454
chr1	11775000	12100000	0	471
chr1	12100000	12350000	0	484
chr1	12350000	12775000	0	494
chr1	14225000	15400000	0.8611646263542194	569
chr1	15400000	15850000	0.8	616
chr1	15850000	16075000	0	634
chr1	16075000	16350000	0	643
chr1	16350000	16825000	0.8242640687119284	654
chr1	16825000	17250000	0	673
chr1	17250000	17725000	0.7071067811865475	690
chr1	17725000	18025000	0	709
chr1	18025000	18875000	0.8312617153726485	721
chr1	18875000	19175000	0	755
chr1	19175000	19600000	0	767
chr1	19600000	20025000	0	784
chr1	20025000	20525000	0.9511844635310913	801
chr1	20525000	21000000	0.882842712474619	821
chr1	21000000	21525000	0.9163162231961564	840
chr1	21525000	22000000	1.0	861
chr1	22000000	22400000	0	880
chr1	22400000	22725000	0	896
chr1	22725000	22975000	0	909
chr1	22975000	23300000	0	919
chr1	23300000	24075000	0.8813380883195705	932
chr1	24075000	24425000	0	963
chr1	24425000	24950000	0.8326324463923127	977
chr1	24950000	25200000	0	998
chr1	25200000	25550000	0	1008
chr1	25550000	25875000	0	1022
chr1	25875000	26150000	0	1035
chr1	26150000	26375000	0	1046
chr1	26375000	26800000	0	1055
chr1	26800000	27250000	0.9267766952966369	1072
chr1	27250000	27675000	0	1090
chr1	27675000	28025000	0	1107
chr1	28025000	28600000	0.9060355974096117	1121
chr1	28600000	28975000	0	1144
chr1	28975000	29550000	0.8901650429449554	1159
chr1	30625000	31150000	0.7821248191647022	1225
chr1	31150000	31500000	0	1246
chr1	31500000	32050000	1.0	1260
chr1	32050000	32200000	0	1282
chr1	32200000	32525000	0	1288
chr1	32525000	32875000	0	1301
chr1	32875000	33300000	0	1315
chr1	33300000	33600000	0	1332
chr1	33600000	34025000	0	1344
chr1	34025000	35225000	0.817395898624397	1361
chr1	35225000	35650000	0	1409
chr1	35650000	35950000	0	1426
chr1	35950000	36275000	0	1438
chr1	36275000	36550000	0	1451
chr1	36550000	36950000	0	1462
chr1	36950000	37525000	0.6868867239266071	1478
chr1	37525000	37900000	0	1501
chr1	37900000	38200000	0	1516
chr1	38200000	38500000	0	1528
chr1	38500000	39025000	0.7031553328075533	1540
chr1	39025000	39325000	0	1561
chr1	39325000	39525000	0	1573
chr1	39525000	40025000	0.921030513642851	1581
chr1	40025000	40200000	0	1601
chr1	40200000	40525000	0	1608
chr1	40525000	40925000	0	1621
